# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
9341         1    7796329    7851492     96      13  31718       1.0775    2.2204e-16       1.0775
8863         1    7809413    7915241    228      22  29925      0.92506    2.2204e-16      0.92506
10911        1    7897672    7948551    180      23  30587      0.25723    2.7756e-16      0.25723
3604         1    7965931    8038225     63       7  31769     -0.52191    2.2204e-16     -0.52191
11315        1    7986714    8055342     70       5  31715     -0.21826    2.7756e-16     -0.21826
54206        1    8061779    8121393     53       4  31568      0.03093    2.7062e-16      0.03093
50651        1    8343171    8414227    106      13  34017       2.1042    4.4409e-16       2.1042
473          1    8402464    8912699    177      11  36205       1.3726    2.2204e-16       1.3726
2023         1    8911059    8974151     56       5  30788      -1.6183    2.2204e-16      -1.6183
765          1    8970893    9045151    131      29  31568       1.0401    2.2204e-16       1.0401
155184       1    9053359    9121404    167      26  31756     -0.32236    2.7756e-16     -0.32236
6518         1    9087005    9166763    266      24  31735     -0.21109    2.7756e-16     -0.21109
80045        1    9153472    9224229    102      15  31676     -0.07103    2.6368e-16     -0.07103
9563         1    9259822    9341396    147      17  30504      0.16877    2.7756e-16      0.16877
80176        1    9300202    9439591    210      32  31766     -0.73785    2.2204e-16     -0.73785
84275        1    9564528    9652831     87       8  31192      -1.4475    2.2204e-16      -1.4475
199953       1    9613932    9684935     87       7  31362      -1.0653    2.2204e-16      -1.0653
5293         1    9676789    9799172    274      23  31560     0.051796    2.7062e-16     0.051796
22883        1    9779079    9919550    283      11  31048       1.7314    2.2204e-16       1.7314
56998        1    9898334   10005316    127      13  31578     0.053448    2.7062e-16     0.053448
64802        1    9968486   10055556    102      10  31525      -1.7377    2.2204e-16      -1.7377
84328        1    9972168   10038460     81       8  31540      -1.7549    2.2204e-16      -1.7549
116362       1   10022255   10086078     54       6  31719      -2.2202    4.4409e-16      -2.2202
10277        1   10058041   10251297    140      15  31585     -0.94704    2.2204e-16     -0.94704
23095        1   10235606   10451664    293       6  31698      0.36498    2.7756e-16      0.36498
5226         1   10423884   10490565     88       7  31339      0.30564    2.7756e-16      0.30564
378708       1   10454944   10520239     84      12  31299     -0.11389    2.6368e-16     -0.11389
100526739    1   10455159   10522060     89      13  31295     -0.14957    2.7756e-16     -0.14957
1325         1   10474776   10522060     66      11  31103     -0.39948    2.7756e-16     -0.39948
5195         1   10500003   10700815    358      23  31697      -0.8188    2.2204e-16      -0.8188
1676         1   10510588   10567613    102      12  31770     -0.15465    2.7756e-16     -0.15465
54897        1   10686661   10891733    324      58  31456      -0.6868    2.2204e-16      -0.6868
148345       1   10996530   11077094    138      20  31745       1.4027    2.2204e-16       1.4027
23435        1   11037462   11095549     82      12  31838       1.2166    2.2204e-16       1.2166
10747        1   11076580   11142296    114       9  31844       -2.085    4.4409e-16       -2.085
6723         1   11104649   11155091    104       6  31844      -1.6088    2.2204e-16      -1.6088
5394         1   11116675   11194961    167       9  31841      -1.4977    2.2204e-16      -1.4977
2475         1   11156588   11357614    248      11  31819      -1.0749    2.2204e-16      -1.0749
10218        1   11214346   11266038     71       5  31844     -0.92004    2.2204e-16     -0.92004
29914        1   11298255   11358491     46       4  31719     -0.89705    2.2204e-16     -0.89705
57540        1   11504295   11607640    172      21  30641       -1.183    2.2204e-16       -1.183
93611        1   11679432   11733384    103      17  31485     0.077046    2.6368e-16     0.077046
26270        1   11689150   11744411    114      20  31510       0.4714    2.7756e-16       0.4714
26232        1   11697924   11749888     90      17  31403      0.71926    2.2204e-16      0.71926
374946       1   11716781   11790336    153      30  31317     -0.38759    2.7756e-16     -0.38759
10459        1   11724537   11786678    138      28  31504     -0.27743    2.7756e-16     -0.27743
57085        1   11761142   11820828     92      20  31356      -1.9157    2.2204e-16      -1.9157
284498       1   11788827   11859642     66      10  31717       -1.958    2.2204e-16       -1.958
1185         1   11831153   11913201    109       5  31817     -0.61223    2.2204e-16     -0.61223
4524         1   11835787   11901160    102       5  31815     -0.65295    2.2204e-16     -0.65295
4878         1   11895766   11942840     66       8  31757      -1.3172    2.2204e-16      -1.3172
4879         1   11907521   11953992     63       8  31753      -1.5938    2.2204e-16      -1.5938
5351         1   11959724   12045599    188      18  31838      0.37823    2.7756e-16      0.37823
90231        1   11969645   12021485    109      12  31834     -0.50174    2.2204e-16     -0.50174
9927         1   12005238   12083572    210      17  31732       1.0825    2.2204e-16       1.0825
60672        1   12044299   12102106    159       8  31701       0.7192    2.2204e-16       0.7192
943          1   12088434   12214264    158      18  31585    0.0018462    2.6953e-16    0.0018462
7133         1   12192044   12279279     85      11  31016      -0.3226    2.7756e-16      -0.3226
55187        1   12255101   12582099    129      10  31074      0.88363    2.2204e-16      0.88363
9249         1   12617939   12712820    174      21  31794      0.63405    2.2204e-16      0.63405
343066       1   12669566   12737097     49       8  31790       1.8437    2.2204e-16       1.8437
126767       1   12741118   12798726     32       6  31844     -0.73749    2.2204e-16     -0.73749
93190        1   12771163   12831102     45       4  31844     -0.56249    2.2204e-16     -0.56249
390999       1   12799984   12848049     21       2  31844      -0.5847    2.2204e-16      -0.5847
65121        1   12816546   12866777     12       2  31844     -0.76154    2.2204e-16     -0.76154
440563       1   13172960   13219326      1       1  30967     -0.32196    2.7756e-16     -0.32196
126755       1   13791445   13875242    236      37  31538       0.3073    2.7756e-16       0.3073
10630        1   13875252   13954452    209      41  31458      -0.5702    2.2204e-16      -0.5702
7799         1   13991714   14161574    190      22  31718       1.1266    2.2204e-16       1.1266
23254        1   14184646   15454544   2813     254  31353       1.4238    2.2204e-16       1.4238
55092        1   15444028   15556974    257      15  30436      -1.3635    2.2204e-16      -1.3635
727684       1   15480692   15533120    105      13  29107     -0.62756    2.2204e-16     -0.62756
114827       1   15538730   15734767    320      37  31728       -1.921    2.2204e-16       -1.921
79180        1   15701391   15766839    109      12  31775     -0.44758    2.7756e-16     -0.44758
11330        1   15729938   15783153     85      14  31775      -1.6051    2.2204e-16      -1.6051
63036        1   15748223   15808586     77       7  31408      -1.1118    2.2204e-16      -1.1118
51032        1   15767596   15827895     76       8  31272      -0.9306    2.2204e-16      -0.9306
842          1   15807896   15886407    177       9  31272     -0.97954    2.2204e-16     -0.97954
23341        1   15818343   15908228    195       9  31325     -0.87371    2.2204e-16     -0.87371
79814        1   15888194   15946605    167       8  31574     -0.26093    2.7756e-16     -0.26093
84301        1   15908953   16005539    224       7  31605    -0.083284    2.6368e-16    -0.083284
6248         1   15951364   15998217     68       3  31694      0.11681    2.6368e-16      0.11681
23207        1   15975632   16071264    149       7  31595        0.689    2.2204e-16        0.689
284723       1   16027721   16077884     85       6  31510      0.76546    2.2204e-16      0.76546
388595       1   16033987   16084292     87       7  31511      0.70512    2.2204e-16      0.70512
54751        1   16048107   16123089     89      10  31391       1.1406    2.2204e-16       1.1406
440567       1   16123657   16169194     43       2  31844     -0.19105    2.7756e-16     -0.19105
23013        1   16139359   16276951    106       6  31827     -0.94152    2.2204e-16     -0.94152
7709         1   16258364   16337627    136       6  31844      -1.0269    2.2204e-16      -1.0269
101928566    1   16267626   16333701    122       6  31844     -0.98339    2.2204e-16     -0.98339
149563       1   16295731   16343184    124       6  31844     -0.89202    2.2204e-16     -0.89202
1187         1   16313486   16370548    155       6  31844     -0.84743    2.2204e-16     -0.84743
27129        1   16330523   16381084    103       7  29249     -0.83541    2.2204e-16     -0.83541
1188         1   16335231   16393821     97       7  29088     -0.91537    2.2204e-16     -0.91537
348487       1   16374264   16435127     43       6  25860       1.2841    2.2204e-16       1.2841
1969         1   16440832   16517582     68      10  31771      -1.5881    2.2204e-16      -1.5881
128272       1   16514599   16574104    111       7  31550     -0.94782    2.2204e-16     -0.94782
101927546    1   16541343   16588528     57       3  31317     -0.21386    2.7756e-16     -0.21386
79363        1   16548182   16598659     64       3  31374     -0.12109    2.6368e-16     -0.12109
54455        1   16563339   16713965     86       3  31416     0.071618    2.6368e-16     0.071618
26099        1   16658525   16734643     14       4  31282     -0.39365    2.7756e-16     -0.39365
374955       1   16712101   16798919     29       6  31635      0.19598    2.7756e-16      0.19598
55707        1   16732167   16796585     23       5  31678     0.070849    2.6368e-16     0.070849
9696         1   17213445   17309474     13       2  31826       1.2193    2.2204e-16       1.2193
4237         1   17290997   17343081     59       5  31817       1.6252    2.2204e-16       1.6252
23400        1   17302453   17373467    112       7  31832         1.64    2.2204e-16         1.64
6390         1   17335217   17415665    210       6  31841       1.3822    2.2204e-16       1.3822
11240        1   17383256   17480948    240      12  31820      0.69901    2.2204e-16      0.69901
29943        1   17496621   17582501    144      26  31670    -0.086081    2.6368e-16    -0.086081
51702        1   17540593   17620728    164      24  31690      0.58947    2.2204e-16      0.58947
23569        1   17599690   17700495    210       9  31830      0.40266    2.7756e-16      0.40266
353238       1   17663741   17738195    108       9  31831     -0.62476    2.2204e-16     -0.62476
55920        1   17723251   17801250    106       8  31812      -1.0458    2.2204e-16      -1.0458
55160        1   17811693   18034370    311      32  31674       1.1732    2.2204e-16       1.1732
81569        1   18046808   18163558    200      24  31718     0.056025    2.7062e-16     0.056025
84966        1   18399240   18714977    653      86  31683      -1.2868    2.2204e-16      -1.2868
127707       1   18772424   18822540    159      22  31746     -0.41817    2.7756e-16     -0.41817
5081         1   18922500   19085360    245      36  31685     -0.91842    2.2204e-16     -0.91842
80834        1   19156093   19221155    126      23  31781       0.8357    2.2204e-16       0.8357
8659         1   19187924   19264293    148      21  31741       1.4491    2.2204e-16       1.4491
126917       1   19220774   19317826    205      23  31766      0.64988    2.2204e-16      0.64988
23352        1   19391000   19571812    342      18  30420      0.34034    2.7756e-16      0.34034
23065        1   19532158   19613053    242      13  31416     -0.24781    2.7756e-16     -0.24781
51154        1   19543075   19596622    142      11  31520     -0.25999    2.7756e-16     -0.25999
22977        1   19599057   19650280    165      13  31623     0.092617    2.6368e-16     0.092617
54896        1   19603740   19668925    182      19  31631     -0.21241    2.7756e-16     -0.21241
8574         1   19619202   19673640    130      16  31784     -0.35236    2.7756e-16     -0.35236
832          1   19655267   19847066    435      27  31773      -2.0812    4.4409e-16      -2.0812
440574       1   19888471   19966315    164      14  31836     -0.10988    2.6368e-16     -0.10988
100532736    1   19888471   19994949    218      21  31834     -0.12802    2.7756e-16     -0.12802
4681         1   19934723   19994949    116      18  31826      -0.3025    2.7756e-16      -0.3025
3362         1   19956780   20016055    141      19  31836     0.044147    2.7062e-16     0.044147
255104       1   19998706   20161424    325      44  31744     -0.75997    2.2204e-16     -0.75997
54546        1   20130522   20176771     86      17  31809      0.12047    2.6368e-16      0.12047
23252        1   20173356   20249438    134      12  31822      0.45977    2.7756e-16      0.45977
30814        1   20236800   20285110    118      15  31819      -1.1057    2.2204e-16      -1.1057
5320         1   20291924   20341932    103      14  31738      0.41162    2.7756e-16      0.41162
5322         1   20351157   20428394    135      14  31811       1.3193    2.2204e-16       1.3193
26279        1   20429143   20481059     55      16  31625      0.84684    2.2204e-16      0.84684
64600        1   20430823   20486879     61      17  31606      0.49411    2.7756e-16      0.49411
127733       1   20477578   20532540     75      11  31687      -1.1107    2.2204e-16      -1.1107
391013       1   20480484   20536687     72      11  31703      -1.1417    2.2204e-16      -1.1417
127731       1   20582412   20691662     98      10  31791     -0.25223    2.7756e-16     -0.25223
55450        1   20798884   20847728     51       8  31716      0.54679    2.2204e-16      0.54679
79594        1   20815941   20869674     70       8  31720      0.99151    2.2204e-16      0.99151
163933       1   20843932   20891513     89      12  31750       2.5403    4.4409e-16       2.5403
978          1   20880444   20955401    282      22  31786       1.8332    2.2204e-16       1.8332
65018        1   20924948   20988004    238      22  31714      0.78224    2.2204e-16      0.78224
1650         1   20968260   21023037    116      18  31446     -0.28501    2.7756e-16     -0.28501
57576        1   20980475   21079317    157      29  31615     -0.56222    2.2204e-16     -0.56222
400745       1   21036225   21094133     94      10  31815      -0.7971    2.2204e-16      -0.7971
50809        1   21059170   21148808     79       5  31783     -0.53168    2.2204e-16     -0.53168
8672         1   21122785   21538381    355      14  31729      -1.7926    2.2204e-16      -1.7926
1889         1   21533740   21707034    187      23  31734      -2.0836    4.4409e-16      -2.0836
84224        1   21731583   21821393     55       6  31844      0.76299    2.2204e-16      0.76299
249          1   21800475   21914905    180      14  31736     -0.35036    2.7756e-16     -0.35036
5909         1   21912708   22031010    170      21  31648     -0.63659    2.2204e-16     -0.63659
84196        1   21994791   22144688    132       9  31461       -1.938    2.2204e-16       -1.938
401944       1   22103758   22161714     44       8  31681      -1.6289    2.2204e-16      -1.6289
3339         1   22138737   22298750    279      24  31661      0.14307    2.7756e-16      0.14307
23436        1   22268418   22325847    117      14  31757       1.1917    2.2204e-16       1.1917
10136        1   22293149   22349035     34       5  31823       1.5875    2.2204e-16       1.5875
998          1   22344120   22429439     17       5  31657      0.56547    2.2204e-16      0.56547
54361        1   22433798   22505474     89      12  31819     -0.07799    2.6368e-16     -0.07799
9923         1   22743344   22867650    155      14  31268      0.16572    2.7756e-16      0.16572
2046         1   22855004   22940087    205      27  31083       1.5532    2.2204e-16       1.5532
712          1   22928118   22976175    140      18  31370      0.43795    2.7756e-16      0.43795
714          1   22934969   22984603    154      18  31566      0.18875    2.7756e-16      0.18875
713          1   22944682   22998130    149      16  31663      0.17079    2.7756e-16      0.17079
2048         1   23002263   23251823    392      47  31303       2.1541    4.4409e-16       2.1541
646262       1   23269536   23334524     48       6  31753       0.7899    2.2204e-16       0.7899
23028        1   23310937   23420184     31       4  31749     0.095806    2.6368e-16     0.095806
729059       1   23327327   23377343     16       2  31720       0.1631    2.7756e-16       0.1631
7798         1   23400516   23539301    157       6  31173      0.24029    2.7756e-16      0.24029
3352         1   23508388   23556222    108       6  31462     0.076086    2.6368e-16     0.076086
10236        1   23625953   23706143     67       6  31694      0.91091    2.2204e-16      0.91091
80818        1   23675941   23731357     79       8  31810      0.44852    2.7756e-16      0.44852
6920         1   23697555   23786269    100       8  31795     -0.58454    2.2204e-16     -0.58454
55616        1   23745056   23845750     88       6  31793     -0.80391    2.2204e-16     -0.80391
1870         1   23822920   23892712     41       7  31838     0.018257    2.7062e-16     0.018257
3399         1   23874421   23921285     22       5  31844      0.45539    2.7756e-16      0.45539
6135         1   23983269   24032915     46       5  31740    -0.027213    2.7062e-16    -0.027213
6924         1   24034856   24098549      7       1  31719      0.57228    2.2204e-16      0.57228
57095        1   24069876   24124722      7       2  31719      0.41057    2.7756e-16      0.41057
11313        1   24082275   24132029      8       1  31844        0.269    2.7756e-16        0.269
2582         1   24112089   24162294     28       2  31844     -0.75469    2.2204e-16     -0.75469
3155         1   24118367   24200110     49       3  31844     -0.79041    2.2204e-16     -0.79041
2517         1   24161567   24229859     59       4  31844     -0.69626    2.2204e-16     -0.69626
1269         1   24187005   24320549     41       2  31844     -0.38509    2.7756e-16     -0.38509
127294       1   24372531   24473665    132      14  31601       1.4195    2.2204e-16       1.4195
58985        1   24436261   24504783     95      11  26110     -0.95409    2.2204e-16     -0.95409
163702       1   24470647   24548765    147      20  26607     -0.43089    2.7756e-16     -0.43089
57822        1   24610812   24700972     69      10  31561       1.4318    2.2204e-16       1.4318
90529        1   24673489   24776587    197      11  31225       1.0295    2.2204e-16       1.0295
57185        1   24707245   24809473    166      10  31080      0.61907    2.2204e-16      0.61907
11123        1   24793841   24873510     99       9  31182      -1.2437    2.2204e-16      -1.2437
400746       1   24847567   24945819    294      27  31496     -0.44548    2.7756e-16     -0.44548
10250        1   24934594   25009772     74       9  31009      0.93933    2.2204e-16      0.93933
25932        1   25036760   25180815     68       6  31654      -1.0142    2.2204e-16      -1.0142
864          1   25216002   25326648    133      12  31789     -0.61565    2.2204e-16     -0.61565
6007         1   25563884   25666936      5       1  31844     -0.50354    2.2204e-16     -0.50354
23585        1   25629789   25698852     19       1  31844     -0.16055    2.7756e-16     -0.16055
6006         1   25677853   25782363     75       1  31844     0.031599    2.7062e-16     0.031599
55219        1   25722388   25836700     90       1  31844     0.075049    2.6368e-16     0.075049
26119        1   25835071   25905377      1       1  31844      0.80363    2.2204e-16      0.80363
57134        1   25908959   26121258    222       7  31777     -0.59454    2.2204e-16     -0.59454
57190        1   26091667   26154713     26       3  31064      -0.1083    2.6368e-16      -0.1083
56181        1   26111397   26169433     34       4  30955     -0.34021    2.7756e-16     -0.34021
79000        1   26148414   26220939     71       5  30811      0.31609    2.7756e-16      0.31609
164091       1   26177975   26237461     52       4  31152      0.90374    2.2204e-16      0.90374
3925         1   26200670   26268368     67       3  31477      0.91949    2.2204e-16      0.91949
5051         1   26276258   26361366    112       5  31746     -0.61981    2.2204e-16     -0.61981
2134         1   26313266   26372955     69       6  31640    -0.061729    2.7062e-16    -0.061729
7780         1   26354513   26408439     59       6  31777    -0.013168    2.6888e-16    -0.013168
84676        1   26367792   26429142     78       5  31634     -0.46745    2.7756e-16     -0.46745
149420       1   26402656   26462039     54       2  31602      -1.5602    2.2204e-16      -1.5602
79927        1   26450511   26499119     62       7  31840      -1.1677    2.2204e-16      -1.1677
51042        1   26461388   26507364     72       8  31841      -1.1627    2.2204e-16      -1.1627
10256        1   26468981   26526375     92       8  31773      -1.1095    2.2204e-16      -1.1095
378807       1   26482119   26539033     93       7  31776     -0.92432    2.2204e-16     -0.92432
64793        1   26525644   26615529    154       9  31755      -1.1017    2.2204e-16      -1.1017
83442        1   26571213   26618013     84       7  31682     -0.95278    2.2204e-16     -0.95278
91544        1   26598773   26679756    168      11  31734      -1.2229    2.2204e-16      -1.2229
1043         1   26609411   26657014     97       6  31695     -0.90167    2.2204e-16     -0.90167
55057        1   26638350   26715621    169      16  31760      -1.0171    2.2204e-16      -1.0171
257101       1   26678125   26736023    102      13  31716     -0.55344    2.2204e-16     -0.55344
79727        1   26702269   26766219     50       8  31526     0.050526    2.7062e-16     0.050526
79947        1   26723773   26807797     72       9  31481     -0.29081    2.7756e-16     -0.29081
3151         1   26763902   26813133     41       6  31434     -0.71565    2.2204e-16     -0.71565
6195         1   26821249   26911520    120      11  31488       -1.033    2.2204e-16       -1.033
8289         1   26987522   27118601      1       1  26555     -0.56321    2.2204e-16     -0.56321
101928728    1   27008623   27057896      1       1  26555     -0.56321    2.2204e-16     -0.56321
84243        1   27118201   27194092      6       2  30182      -1.1779    2.2204e-16      -1.1779
2810         1   27154633   27200947      2       1  27297    -0.010664    2.6888e-16    -0.010664
54707        1   27195872   27251869      2       1  30258      -1.0785    2.2204e-16      -1.0785
63906        1   27206979   27261962      2       1  30258      -1.0785    2.2204e-16      -1.0785
10726        1   27213187   27283362      6       2  31315      0.73568    2.2204e-16      0.73568
8431         1   27227975   27275567      3       2  30787      0.23308    2.7756e-16      0.23308
126695       1   27266047   27321901      8       2  28852      0.66475    2.2204e-16      0.66475
388610       1   27285189   27337377      4       1  25860      -1.2523    2.2204e-16      -1.2523
115572       1   27321511   27374333      6       1  31698     -0.18378    2.7756e-16     -0.18378
6548         1   27415300   27516621    125       2  31692     -0.27466    2.7756e-16     -0.27466
23038        1   27526007   27645124     34       5  31535     -0.83411    2.2204e-16     -0.83411
84065        1   27613636   27672891     25       4  31745     -0.10662    2.6368e-16     -0.10662
84958        1   27633483   27690423     38       6  31779      0.48309    2.7756e-16      0.48309
9064         1   27671670   27728558     38       6  30833       3.6262    4.4409e-16       3.6262
2827         1   27684148   27732318     31       4  30596       3.7577    4.4409e-16       3.7577
8547         1   27685601   27736315     32       4  30283       3.7846    4.4409e-16       3.7846
388611       1   27695596   27744823     37       3  29870       3.7896    4.4409e-16       3.7896
10163        1   27720734   27851678    113       3  30601       3.4175    4.4409e-16       3.4175
27245        1   27850756   27965463      7       2  31810      0.54631    2.2204e-16      0.54631
2268         1   27928800   27996727      5       2  31621     -0.62673    2.2204e-16     -0.62673
2537         1   27982572   28033724     20       2  31677       1.3407    2.2204e-16       1.3407
199870       1   28017490   28099426     79       2  31810       1.5579    2.2204e-16       1.5579
23673        1   28064694   28160963     75       2  31805       1.4626    2.2204e-16       1.4626
