# ALPHA = 0.05
# NUMBER_OF_TESTS = 4

# _SET1_  VARIABLE = Postnatal_Negative (set)
# _SET1_  NGENES = 541
# _SET1_  P-VALUE = 0.00133967
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   347730        2   80505481   80566718    154      35  24441     -0.48771      0.59701    3.3307e-16     -0.48771
_SET1_   30818         2   95928072   96061825    174      22  24727         1.74     0.024324    2.2204e-16         1.74
_SET1_   90342         2   97273574   97380624    161      38  23332     -0.03103      0.42213    3.1919e-16     -0.03103
_SET1_   3631          2   99026321   99217496    417      21  20051      0.43842      0.24317    3.3307e-16      0.43842
_SET1_   84620         2  107408056  107538563    438      36  25003      -1.3687      0.85772    2.2204e-16      -1.3687
_SET1_   205147        2  131478077  131535707     41      26  17000      0.10837      0.39472    3.1919e-16      0.10837
_SET1_   3760          2  155520093  155724864    654      68  26063      0.99653     0.087636    3.3307e-16      0.99653
_SET1_   90134         2  163217917  163730257   1525      79  27032       2.1568    0.0030061    4.4409e-16       2.1568
_SET1_   6323          2  166835670  167040642    853      46  26591     -0.61774      0.57457    3.3307e-16     -0.61774
_SET1_   10651         2  177099123  177212753    293      28  27211      0.15012      0.31421    3.0531e-16      0.15012
_SET1_   114880        2  179024208  179274160    796      44  27784      0.54423      0.15812    3.3307e-16      0.54423
_SET1_   151126        2  180296709  180761232   1600     104  24803      -1.1218      0.71622    2.2204e-16      -1.1218
_SET1_   10477         2  181810112  181938154    467      20  28290      -1.1016      0.75655    2.2204e-16      -1.1016
_SET1_   285175        2  210601717  210874024    579      32  18161      0.93287      0.10458    3.3307e-16      0.93287
_SET1_   92691         2  216911589  216977506    154      29  24525      0.12168      0.35892    3.1919e-16      0.12168
_SET1_   57574         2  217112585  217271750    494      51  27713      -1.0497      0.75444    2.2204e-16      -1.0497
_SET1_   8941          2  219789350  219836877    132      15  20866        0.119      0.37598    3.1919e-16        0.119
_SET1_   10290         2  220264552  220368354    190      34  26560     -0.39811       0.5413    3.3307e-16     -0.39811
_SET1_   6508          2  220457292  220516702     87      14  15629     -0.60706      0.62935    3.3307e-16     -0.60706
_SET1_   57624         2  226229426  226528734    636      46  24249        2.231    0.0055198    4.4409e-16        2.231
_SET1_   80309         2  228834670  229081836    879      32  31751      0.21793      0.20781    3.0531e-16      0.21793
_SET1_   151176        2  239025579  239087516    279      44  28115       1.8311     0.014935    2.2204e-16       1.8311
_SET1_   2917          3    6867802    7793218   3711     237  26405      0.66145     0.067211    3.3307e-16      0.66145
_SET1_   9901          3    9012275    9326369   1014     129  28407     -0.61395       0.5581    3.3307e-16     -0.61395
_SET1_   151835        3    9710510    9781592    158      48  21001     -0.33781      0.55889    3.3307e-16     -0.33781
_SET1_   285368        3    9977226   10029078    157      11  27379     -0.68085      0.64535    3.3307e-16     -0.68085
_SET1_   491           3   10355707   10768131   1791     166  26619      0.19579      0.21357    3.0531e-16      0.19579
_SET1_   23066         3   12803171   12886313    386      35  24785       -1.302      0.84679    2.2204e-16       -1.302
_SET1_   9922          3   12928542   13149652    717      78  26702      0.24683      0.26464    3.0531e-16      0.24683
_SET1_   6304          3   18379133   18515265    364      51  25483       1.5805     0.030394    2.2204e-16       1.5805
_SET1_   114884        3   31692317   32058342   1364     125  28311       1.8807    0.0072994    2.2204e-16       1.8807
_SET1_   1951          3   48663896   48735348    107      12  24201      0.35044       0.2827    3.3307e-16      0.35044
_SET1_   84276         3   49449766   49501777     88      13  18218      -1.2306      0.86196    2.2204e-16      -1.2306
_SET1_   63891         3   49691950   49768962    105      17  22743      0.70779      0.18167    3.3307e-16      0.70779
_SET1_   9254          3   50390230   50575892    370      30  28041        4.348    1.227e-06             0        4.348
_SET1_   1795          3   50677672   51431629   1486      19  27125       1.0913     0.043599    2.2204e-16       1.0913
_SET1_   2912          3   51706081   51762629     50      15  22229       1.7017     0.027856    2.2204e-16       1.7017
_SET1_   25864         3   51972700   52025216     78      10  19020       1.2828     0.072245    2.2204e-16       1.2828
_SET1_   776           3   53494076   53857179   1080     103  25188        1.458     0.029421    2.2204e-16        1.458
_SET1_   8618          3   62374021   62896064   2006     148  27686      0.37502      0.13888    3.3307e-16      0.37502
_SET1_   29114         3  111682586  111742735    299      33  27517      -1.4328       0.8649    2.2204e-16      -1.4328
_SET1_   2596          3  115307151  115450334    402      75  27803      -1.3395      0.84147    2.2204e-16      -1.3395
_SET1_   2932          3  119530800  119848264    791      30  17634      -1.4306      0.85147    2.2204e-16      -1.4306
_SET1_   9515          3  120592050  121153608   1696      33  26585      -1.9287      0.89728    2.2204e-16      -1.9287
_SET1_   8997          3  123778558  124450036   2555     117  25575     -0.41143      0.34916    3.3307e-16     -0.41143
_SET1_   5361          3  126672437  126766235    257      22  23406      0.86408      0.13516    3.3307e-16      0.86408
_SET1_   131034        3  131242413  131794152   2569     103  28765       2.3095   0.00064589    4.4409e-16       2.3095
_SET1_   401097        3  159908423  159956000    120      19  20529      -1.4441       0.8937    2.2204e-16      -1.4441
_SET1_   165679        3  161052580  161125662    283      25  28158      0.49766      0.19567    3.3307e-16      0.49766
_SET1_   5274          3  167418432  167553357    425      31  28540      0.95494      0.08708    3.3307e-16      0.95494
_SET1_   90113         3  183913317  183970117    156      29  24091     -0.32751      0.53535    3.3307e-16     -0.32751
_SET1_   94032         3  183967003  184014251    105      21  24606     -0.24558      0.50539    3.0531e-16     -0.24558
_SET1_   131408        3  184018717  184074063    111      29  23984        1.137     0.085476    2.2204e-16        1.137
_SET1_   2119          3  185754106  185861901    280      34  26741       1.2179     0.063062    2.2204e-16       1.2179
_SET1_   2257          3  191847033  192480388   2204     167  27011      0.16249      0.18818    3.0531e-16      0.16249
_SET1_   4241          3  196718611  196791687    275      39  24297       1.6852      0.02583    2.2204e-16       1.6852
_SET1_   10815         4     768745     854945    430      43  27792     -0.71114      0.63515    3.3307e-16     -0.71114
_SET1_   389197        4    5889318    6027175    617      62  26681      0.11293      0.31105    3.1919e-16      0.11293
_SET1_   5522          4    6312305    6600327   1083     114  28393      -2.2564      0.96102    4.4409e-16      -2.2564
_SET1_   84448         4    7957037    8195559    908     144  25971        1.144     0.065165    2.2204e-16        1.144
_SET1_   9079          4   16493164   16935424   1429     145  26547       1.4471     0.024839    2.2204e-16       1.4471
_SET1_   84708         4   54316437   54553653    849      63  26867      0.73486       0.1252    3.3307e-16      0.73486
_SET1_   1040          4   85469057   85582493    204      23  26909      0.22349      0.30702    3.0531e-16      0.22349
_SET1_   5602          4   86923452   87409283   1047      49  27320      0.10237      0.27212    3.1919e-16      0.10237
_SET1_   401145        4   91013684   92533370   5573     187  25197     -0.58354      0.41655    3.3307e-16     -0.58354
_SET1_   132332        4  122670085  122721516    163      19  28530       -1.037      0.76343    2.2204e-16       -1.037
_SET1_   55294         4  153232410  153491393    573      18  26583     0.095946      0.31992    3.1919e-16     0.095946
_SET1_   2743          4  157962277  158103251    538      24  27137      -1.5514      0.87815    2.2204e-16      -1.5514
_SET1_   134111        5    6402460    6506834    338      41  26699     0.062249      0.35323    3.1919e-16     0.062249
_SET1_   6715          5    6598500    6679675    295      19  27010      0.12698      0.33385    3.0531e-16      0.12698
_SET1_   10409         5   17181932   17286954    373      60  27355      0.63269       0.1672    3.3307e-16      0.63269
_SET1_   348980        5   45245052   45731220    890      31  22450       3.0231   0.00033488    4.4409e-16       3.0231
_SET1_   115827        5   57842950   58165221   1059      69  28058     -0.36458      0.44529    3.3307e-16     -0.36458
_SET1_   5295          5   67476584   67607649    316      46  26024      -1.3817      0.86316    2.2204e-16      -1.3817
_SET1_   9315          5  111055000  111347628    913      54  23541      -1.9338      0.93964    2.2204e-16      -1.9338
_SET1_   11127         5  132018323  132108265    183      14  27464      0.41712      0.23518    3.3307e-16      0.41712
_SET1_   91368         5  133727756  133782598     83      14  26645       1.8212     0.017633    2.2204e-16       1.8212
_SET1_   8382          5  137440861  137510132    105      16  25132       0.4162      0.25708    3.3307e-16       0.4162
_SET1_   51308         5  137739690  137792658    128      15  31255       2.0045    0.0074585    4.4409e-16       2.0045
_SET1_   56135         5  140271302  140401929    291      19  29302       2.2179    0.0048051    4.4409e-16       2.2179
_SET1_   285613        5  140981517  141030918    126      26  25649       2.4118    0.0037848    4.4409e-16       2.4118
_SET1_   5097          5  141222655  141293361    127      20  26784      0.87678      0.12049    3.3307e-16      0.87678
_SET1_   5521          5  145959067  146496083   1512      88  26725       1.2355     0.035253    2.2204e-16       1.2355
_SET1_   6534          5  149534520  149600635    266      36  26085       2.1011    0.0087233    4.4409e-16       2.1011
_SET1_   206358        5  150781553  150881940    435      31  26337       1.7213     0.020733    2.2204e-16       1.7213
_SET1_   26999         5  156658091  156832606    507      29  24623     -0.89789      0.72132    3.3307e-16     -0.89789
_SET1_   2554          5  161239197  161336965    309      26  26240       1.4553     0.040268    2.2204e-16       1.4553
_SET1_   51617         5  173437607  173546182    272      24  15225     -0.73556      0.68374    3.3307e-16     -0.73556
_SET1_   5601          5  179650594  179754071    601      44  26967       1.3704     0.039616    2.2204e-16       1.3704
_SET1_   221692        6   12681888   13300476   1759     119  26416      0.78104     0.079494    3.3307e-16      0.78104
_SET1_   23408         6   13539506   13625390    176      33  25977     -0.16465      0.45664    3.0531e-16     -0.16465
_SET1_   10486         6   17358447   17568023    712      66  27791      0.19965      0.26454    3.0531e-16      0.19965
_SET1_   140767        6   24091414   24157757    211      47  23816     -0.72129      0.68681    3.3307e-16     -0.72129
_SET1_   2822          6   24416060   24530433    701      40  24272    0.0060503      0.36129    3.1832e-16    0.0060503
_SET1_   221545        6   30579816   30630987    192      34  21010      -1.7057      0.94435    2.2204e-16      -1.7057
_SET1_   2914          6   33979623   34158399    963      69  24468       2.8835   0.00050944    4.4409e-16       2.8835
_SET1_   10817         6   41727914   41782643    126      23  24142       1.0506      0.10191    2.2204e-16       1.0506
_SET1_   5528          6   42917218   42990083    218      20  28168       1.0406     0.081922    2.2204e-16       1.0406
_SET1_   116138        6   42946841   42999036    120      11  27410       1.1902     0.066766    2.2204e-16       1.1902
_SET1_   84630         6   43176222   43265997    231      33  21389       2.8325    0.0011821    4.4409e-16       2.8325
_SET1_   65989         6   43408090   43458786    118      24  18593     -0.60737      0.66182    3.3307e-16     -0.60737
_SET1_   221424        6   43464703   43513081     93      13  18953     -0.44596      0.66507    3.3307e-16     -0.44596
_SET1_   441151        6   44203480   44257182    163      25  27042     -0.56805      0.61602    3.3307e-16     -0.56805
_SET1_   59084         6   46116922   46173737    135      20  29033      0.60428      0.17664    3.3307e-16      0.60428
_SET1_   442213        6   47835157   48071425    621      36  27073     -0.22393      0.42973    3.0531e-16     -0.22393
_SET1_   202559        6   62379865   63031100   1750      42  26627   -0.0084876      0.26047    3.1919e-16   -0.0084876
_SET1_   56479         6   73296571   73918574   1952     140  25903      0.64108     0.099016    3.3307e-16      0.64108
_SET1_   1303          6   75784042   75950623    441      44  27999    -0.021679      0.35831    3.1919e-16    -0.021679
_SET1_   6785          6   80614529   80692315    244      16  26078     0.066422      0.36385    3.1919e-16     0.066422
_SET1_   9892          6   84252604   84454127    464      39  29320       2.3372    0.0028458    4.4409e-16       2.3372
_SET1_   206412        6   88019571   88085381    231      15  27744     -0.43526      0.56032    3.3307e-16     -0.43526
_SET1_   84553         6   99710793   99832594    352      23  28501      0.12057      0.31787    3.1919e-16      0.12057
_SET1_   55084         6  107776317  107992513    668      66  26940        1.288     0.046053    2.2204e-16        1.288
_SET1_   3097          6  143062604  143302495    713      70  25901      -1.0764      0.76138    2.2204e-16      -1.0764
_SET1_   81706         6  150429188  150581528    613      67  26576     -0.59432      0.59007    3.3307e-16     -0.59432
_SET1_   4142          6  160285218  160339339    131      17  26503    -0.017194      0.39546    3.1919e-16    -0.017194
_SET1_   84262         7    1596968    1644668    146      26  26114     -0.94293      0.74916    3.3307e-16     -0.94293
_SET1_   26031         7   24826159   25054818    696      86  27219       1.4054     0.036414    2.2204e-16       1.4054
_SET1_   63974         7   31367075   31415538     89      23  24391      -0.4415      0.58057    3.3307e-16      -0.4415
_SET1_   23072         7   43117198   43613213   1820     156  24550      0.31108      0.18916    3.3307e-16      0.31108
_SET1_   816           7   44246749   44400230    355      37  24438     -0.60889      0.63273    3.3307e-16     -0.60889
_SET1_   375567        7   49778257   49971546    500      57  24453      0.83844      0.12656    3.3307e-16      0.83844
_SET1_   26053         7   69028905   70267885   2938      79  25706      0.30442       0.1174    3.3307e-16      0.30442
_SET1_   64409         7   70562523   71188586   2548     142  24582       2.3066     0.001046    4.4409e-16       2.3066
_SET1_   6804          7   73103535   73169032    145      36  27131      -1.8409      0.93978    2.2204e-16      -1.8409
_SET1_   3984          7   73463107   73546855    176      25  26491       1.0685     0.087154    2.2204e-16       1.0685
_SET1_   222183        7   75796211   75926609    464      29  22825     0.014119      0.38783    3.1919e-16     0.014119
_SET1_   9863          7   77636374   79118121   6095     305  27955       1.8501     0.003301    2.2204e-16       1.8501
_SET1_   27445         7   82373321   82827197   1290      60  26829      -0.8247      0.61444    3.3307e-16      -0.8247
_SET1_   219578        7   88353753   88976346   2432     100  26707     -0.54359      0.39351    3.3307e-16     -0.54359
_SET1_   219557        7   88413420   88460031    189      22  28226      0.36996      0.24485    3.3307e-16      0.36996
_SET1_   5218          7   90190681   90849905   2013      74  24969      -1.2192       0.7021    2.2204e-16      -1.2192
_SET1_   25851         7   97834755   97916563    250      27  28120    -0.025017      0.38048    3.1919e-16    -0.025017
_SET1_   255374        7   99689317   99736121     99      16  25722       1.8122     0.018825    2.2204e-16       1.8122
_SET1_   55262         7   99742043   99791338     97      15  24951        1.602     0.033494    2.2204e-16        1.602
_SET1_   222950        7  100046550  100102425     97      14  25137       2.1183     0.011832    4.4409e-16       2.1183
_SET1_   51412         7  100230720  100289084    106      20  25332      0.32998      0.27826    3.3307e-16      0.32998
_SET1_   7425          7  100795790  100845862    162      23  28206      -2.3266      0.97735    4.4409e-16      -2.3266
_SET1_   64101         7  127657124  127706002     93      23  22235       1.0245      0.10983    2.2204e-16       1.0245
_SET1_   64753         7  128396464  128472187    237      28  26519       1.5343     0.032878    2.2204e-16       1.5343
_SET1_   57670         7  138506126  138701064    586      53  25872      0.30401      0.25489    3.3307e-16      0.30401
_SET1_   154790        7  139173674  139239731    172      43  19947      -1.2525      0.85057    2.2204e-16      -1.2525
_SET1_   2051          7  142517776  142578847    220      17  28123      -1.1545       0.7942    2.2204e-16      -1.1545
_SET1_   26047         7  145778453  148128090   8655     297  26929      0.28384      0.13225    3.3307e-16      0.28384
_SET1_   155066        7  149535053  149587787    166      16  28785       1.7504     0.019033    2.2204e-16       1.7504
_SET1_   3757          7  150632044  150710402    184      29  28854    -0.018189      0.36623    3.1919e-16    -0.018189
_SET1_   1020          7  150740899  150790052    139      27  25884      0.89234      0.12436    3.3307e-16      0.89234
_SET1_   54480         7  150894575  150945913    120      15  27439     -0.64433      0.62971    3.3307e-16     -0.64433
_SET1_   5799          7  157321750  158415482   5605     291  26593      0.47518     0.095176    3.3307e-16      0.47518
_SET1_   9228          8     842021    1666642   5060     233  27393       1.4451      0.01091    2.2204e-16       1.4451
_SET1_   64478         8    2782875    4887328  19039     626  26987       1.5065    0.0096094    2.2204e-16       1.5065
_SET1_   286046        8   10743654   11093875   1435      80  22404      -2.5483      0.98404    4.4409e-16      -2.5483
_SET1_   2675          8   21539530   21707392    576      94  26516    -0.041715       0.3823    3.1919e-16    -0.041715
_SET1_   10361         8   21846621   21904408    173      31  23640       1.6472      0.03101    2.2204e-16       1.6472
_SET1_   55806         8   21961932   22023566    177      30  26090     -0.34744      0.52785    3.3307e-16     -0.34744
_SET1_   23221         8   22809930   22887710    233      45  26352      0.29624       0.2803    3.3307e-16      0.29624
_SET1_   4747          8   24798468   24849383    134      13  26937      0.41357      0.24859    3.3307e-16      0.41357
_SET1_   157574        8   28275925   28382835    319      56  26920      -1.2376      0.82446    2.2204e-16      -1.2376
_SET1_   79698         8   40378109   40790345   1532     109  25810       2.0852    0.0042925    4.4409e-16       2.0852
_SET1_   286           8   41500744   41789280    979      93  27250     -0.20256      0.39582    3.0531e-16     -0.20256
_SET1_   54212         8   50787349   51716171   3278      53  24124      0.20779      0.14205    3.0531e-16      0.20779
_SET1_   114786        8   55980017   56448714   1639     101  26857      0.25212      0.19507    3.3307e-16      0.25212
_SET1_   157807        8   62165514   62424204    613      53  27377      0.23036       0.2679    3.0531e-16      0.23036
_SET1_   1392          8   67078612   67125846     60      17  22277     -0.77805      0.71621    3.3307e-16     -0.77805
_SET1_   9312          8   73414626   73860584   1318      59  26930      0.71757        0.104    3.3307e-16      0.71757
_SET1_   27067         8   74322604   74694943   1196      53  27445     -0.20623      0.37113    3.0531e-16     -0.20623
_SET1_   11075         8   80488049   80588410    260      33  27849     -0.17238      0.43362    3.0531e-16     -0.17238
_SET1_   83988         8  102688770  103172135   1720     109  25200     0.055268      0.26145    3.1919e-16     0.055268
_SET1_   55074         8  107247406  107774922   1531      76  26763     -0.43336      0.43814    3.3307e-16     -0.43336
_SET1_   3786          8  133123105  133528004   1375     120  25660      0.55468        0.147    3.3307e-16      0.55468
_SET1_   575           8  143510377  143636369    383      59  27082      0.51496      0.20154    3.3307e-16      0.51496
_SET1_   1537          8  145114960  145162428     35       8  13352     -0.83505      0.71453    3.3307e-16     -0.83505
_SET1_   83482         8  145544228  145594943     91      18  25052      0.15301      0.35528    3.0531e-16      0.15301
_SET1_   90990         8  145656432  145709499    187      23  26084      0.81584      0.14105    3.3307e-16      0.81584
_SET1_   7306          9   12658385   12720285    219      26  26116       1.0716     0.088127    2.2204e-16       1.0716
_SET1_   1993          9   23680097   23861342    595      58  27187      -1.2898      0.81662    2.2204e-16      -1.2898
_SET1_   23349         9   34922484   34992541    174      32  26012     -0.41713      0.55642    3.3307e-16     -0.41713
_SET1_   9853          9   35455007   35571895    245      42  25302     -0.41816      0.56033    3.3307e-16     -0.41816
_SET1_   57704         9   35726863   35784925     80      18  25611      0.74679      0.15867    3.3307e-16      0.74679
_SET1_   22844         9   37616052   37756901    500      64  28632       1.3359     0.042115    2.2204e-16       1.3359
_SET1_   6096          9   77077252   77313534    501      44  27036       1.6281     0.023019    2.2204e-16       1.6281
_SET1_   65268         9   95911437   96092854    539      39  26925     -0.15923       0.4166    3.0531e-16     -0.15923
_SET1_   9568          9  101040364  101506479   1765     130  27937      0.35764      0.15596    3.3307e-16      0.35764
_SET1_   54566         9  111924254  112118021    584      74  27988      -1.7064      0.90525    2.2204e-16      -1.7064
_SET1_   5774          9  112127974  112295593    494      43  26358     0.004334      0.36267    3.1832e-16     0.004334
_SET1_   55342         9  125868338  126065855    307      34  24299        1.321     0.056395    2.2204e-16        1.321
_SET1_   286205        9  127694887  127940838    677      32  26133       1.1618     0.062116    2.2204e-16       1.1618
_SET1_   9649          9  129642053  129995445    789      31  26170       2.7156   0.00090733    4.4409e-16       2.7156
_SET1_   80142         9  130872972  130925741    141      25  27591      -2.1006      0.96303    4.4409e-16      -2.1006
_SET1_   1759          9  130930634  131027528    280      28  26157       1.2792     0.058635    2.2204e-16       1.2792
_SET1_   10999         9  131067839  131133749    190      25  22325      0.78362      0.15703    3.3307e-16      0.78362
_SET1_   11182         9  136326216  136379276    173      31  23979      -0.2621      0.50869    3.3307e-16      -0.2621
_SET1_   10439         9  137932089  138023030    528      52  24896      0.11921      0.33749    3.1919e-16      0.11921
_SET1_   402381        9  138575253  138626374    254      28  24339     -0.30264      0.51728    3.3307e-16     -0.30264
_SET1_   157922        9  138690333  138834060    306      31  24589      -1.6987      0.92406    2.2204e-16      -1.6987
_SET1_   138311        9  139572024  139629170    245      34  25590      -1.0534      0.77962    2.2204e-16      -1.0534
_SET1_   2902          9  139998609  140073214    304      39  19727      0.73865      0.16962    3.3307e-16      0.73865
_SET1_   55691        10   13675706   14407866   3607     250  28788    -0.082826      0.20519    3.1919e-16    -0.082826
_SET1_   57512        10   25429290   25901158   1830      58  27531      0.40203      0.13529    3.3307e-16      0.40203
_SET1_   22849        10   93796452   94085875    480      34  24808    -0.083638      0.41533    3.1919e-16    -0.083638
_SET1_   26507        10  101053856  101164087    357      35  27388      0.53831      0.19358    3.3307e-16      0.53831
_SET1_   79955        10  102757440  102825914    156      39  25757      0.60897      0.19398    3.3307e-16      0.60897
_SET1_   9118         10  105001919  105060108    116      17  28516       2.8445   0.00077699    4.4409e-16       2.8445
_SET1_   150          10  112801790  112850665    154      21  20662      -2.5096      0.98924    4.4409e-16      -2.5096
_SET1_   259217       10  118420703  118644693    680      68  26792      -1.1502      0.78139    2.2204e-16      -1.1502
_SET1_   10570        10  133963564  134029280    338      30  25736       2.3703    0.0037336    4.4409e-16       2.3703
