# ALPHA = 0.05
# NUMBER_OF_TESTS = 4

# _SET1_  VARIABLE = Prenatal_Negative (set)
# _SET1_  NGENES = 1245
# _SET1_  P-VALUE = 0.0115612
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   4853          1  120444176  120674880     63       3  31791      0.12041      0.34139    2.6368e-16      0.12041
_SET1_   284615        1  145435508  145485647     56       6  30702       -1.789      0.94504    2.2204e-16       -1.789
_SET1_   9939          1  145472557  145523536     52       5  30512      -1.4884      0.90867    2.2204e-16      -1.4884
_SET1_   653604        1  149774780  149820236      1       1  30665     0.011485       0.3769    2.6888e-16     0.011485
_SET1_   8349          1  149846010  149893232      5       3  31127     -0.16326      0.44184    2.7756e-16     -0.16326
_SET1_   10262         1  149885209  149936449     14       3  31377      -0.4451      0.56488    2.7756e-16      -0.4451
_SET1_   81611         1  150180717  150243504     41       4  31094     -0.91743       0.7587    2.2204e-16     -0.91743
_SET1_   148523        1  150219930  150269505     27       4  29072      0.67715      0.23795    2.2204e-16      0.67715
_SET1_   58497         1  150945867  151018189     81      11  31546      -0.7381      0.67561    2.2204e-16      -0.7381
_SET1_   10962         1  150997151  151050973     32       6  30872     -0.52186      0.61749    2.2204e-16     -0.52186
_SET1_   100534012     1  151094105  151152773     25       4  31492    -0.042963      0.40258    2.7062e-16    -0.042963
_SET1_   79005         1  151103482  151152773     21       4  31519     -0.04775      0.40066    2.7062e-16     -0.04775
_SET1_   5993          1  151303116  151354785     24       9  30706      0.10993      0.36943    2.6368e-16      0.10993
_SET1_   81609         1  151549454  151681559     96       8  31045      0.97915      0.11483    2.2204e-16      0.97915
_SET1_   11189         1  151662534  151724290     54       9  30494       0.6828      0.19706    2.2204e-16       0.6828
_SET1_   65005         1  151722119  151771040     98      10  31531       1.0167     0.096943    2.2204e-16       1.0167
_SET1_   1141          1  154505257  154562354     64       7  31684       2.1307    0.0074989    4.4409e-16       2.1307
_SET1_   10654         1  154887208  154944484     32       2  31665     -0.34612      0.52706    2.7756e-16     -0.34612
_SET1_   57326         1  154906553  154963624     27       3  31632     -0.38013      0.53579    2.7756e-16     -0.38013
_SET1_   90780         1  154919502  154969258      7       2  31025      0.49915      0.23378    2.7756e-16      0.49915
_SET1_   10067         1  155215770  155267176     46       1  31844      0.26978      0.30179    2.7756e-16      0.26978
_SET1_   23208         1  155794260  155864990     22       4  31551       2.3479    0.0040794    4.4409e-16       2.3479
_SET1_   9181          1  155906431  155988396     42       4  31806       2.3954    0.0034118    4.4409e-16       2.3954
_SET1_   92312         1  156031804  156086789     18       3  31795     -0.45428      0.55052    2.7756e-16     -0.45428
_SET1_   11243         1  156147779  156219868     98       7  31013       0.1866      0.33836    2.7756e-16       0.1866
_SET1_   4209          1  156423513  156505634     87       6  31555       2.1054    0.0085791    4.4409e-16       2.1054
_SET1_   63827         1  156576740  156639324     44       7  31406      0.99386      0.10398    2.2204e-16      0.99386
_SET1_   3766          1  159997257  160075051     84      10  31654    -0.040411      0.39795    2.7062e-16    -0.040411
_SET1_   480           1  160086352  160166767    135      25  31605      -1.0275      0.76662    2.2204e-16      -1.0275
_SET1_   844           1  160125285  160181676     84      20  30958     -0.63203      0.65815    2.2204e-16     -0.63203
_SET1_   8682          1  160140125  160195162     82      13  30366     -0.27953      0.54461    2.7756e-16     -0.27953
_SET1_   5824          1  160236599  160289941     87       7  30183      -0.8404      0.75747    2.2204e-16      -0.8404
_SET1_   4807          1  160301861  160352638     90      13  31490      0.19992      0.31499    2.7756e-16      0.19992
_SET1_   9722          1  162004581  162349813    713      41  30744     -0.10439      0.35025    2.6368e-16     -0.10439
_SET1_   400793        1  162313696  162366608     92      19  31739      -1.5457      0.89289    2.2204e-16      -1.5457
_SET1_   261726        1  168113171  168181352    101       7  31363     -0.17504      0.46689    2.7756e-16     -0.17504
_SET1_   91687         1  173758688  173829325     21       4  31605     -0.41991       0.5461    2.7756e-16     -0.41991
_SET1_   460           1  176816441  177169024    331      21  31046     -0.88227      0.70676    2.2204e-16     -0.88227
_SET1_   57795         1  177105058  177261558    199      17  32533     0.054972      0.31288    2.7062e-16     0.054972
_SET1_   6646          1  179227849  179337815    257      15  33937       3.2257   5.6061e-05    4.4409e-16       3.2257
_SET1_   9887          1  183406506  183533328     54       7  31798       1.3263     0.050297    2.2204e-16       1.3263
_SET1_   8707          1  193137860  193190743      5       2  29351     0.054845      0.43394    2.7062e-16     0.054845
_SET1_   23046         1  200928514  201027828    189      18  31566        1.962     0.011261    2.2204e-16        1.962
_SET1_   55705         1  201763288  201863422     98      16  31062      0.45014      0.24493    2.7756e-16      0.45014
_SET1_   92703         1  202941520  203003976    103      15  31106        1.048     0.098513    2.2204e-16        1.048
_SET1_   5287          1  204381756  204498943    171      13  31689      0.13161       0.3252    2.7756e-16      0.13161
_SET1_   148808        1  205503112  205582046     66      13  31676      -1.1266      0.79276    2.2204e-16      -1.1266
_SET1_   5362          1  208185587  208452665    501      52  31511       1.9591      0.00862    2.2204e-16       1.9591
_SET1_   9926          1  211906799  212083531    163       6  31844     -0.53021      0.57516    2.2204e-16     -0.53021
_SET1_   51514         1  212173919  212288187     17       2  31764      -1.8785      0.94614    2.2204e-16      -1.8785
_SET1_   79169         1  228278428  228328112     62      10  30661       0.0253      0.41155    2.7062e-16       0.0253
_SET1_   388753        1  234473932  234529795     18       4  31831      0.95597     0.098168    2.2204e-16      0.95597
_SET1_   2786          1  235700985  235849054     82      18  31761      0.66145      0.16369    2.2204e-16      0.66145
_SET1_   9156          1  241976491  242063241    209      21  31726     -0.70602      0.64066    2.2204e-16     -0.70602
_SET1_   10000         1  243641535  244049381    324      15  35660       1.4201     0.010529    2.2204e-16       1.4201
_SET1_   129787        2     657793     712439     73      11  31328      0.70898      0.16588    2.2204e-16      0.70898
_SET1_   3398          2    8787113    8834583     23       4  31792     -0.94495      0.73261    2.2204e-16     -0.94495
_SET1_   9270          2    9535810    9598698    100       7  31057      0.85522      0.14696    2.2204e-16      0.85522
_SET1_   10971         2    9714096    9806184     81      11  27535     -0.44209      0.70735    2.7756e-16     -0.44209
_SET1_   28951         2   12821998   12892860     84       9  31203     -0.42749      0.56911    2.7756e-16     -0.42749
_SET1_   348654        2   17900152   17976632    104       4  31654       -0.498       0.6075    2.7756e-16       -0.498
_SET1_   79172         2   24981175   25055245    121      13  31390      0.25618      0.29416    2.7756e-16      0.25618
_SET1_   3797          2   26139455   26240443     22       4  31696    -0.056388      0.39785    2.7062e-16    -0.056388
_SET1_   150946        2   26360960   26422532     57       5  31823      0.63046      0.17254    2.2204e-16      0.63046
_SET1_   9381          2   26670071   26816566    200      33  31799      0.11941      0.32469    2.6368e-16      0.11941
_SET1_   56896         2   27035969   27183219    130       3  31561     -0.42532       0.5595    2.7756e-16     -0.42532
_SET1_   285126        2   27463289   27515214     42       2  31150     -0.65055       0.6682    2.2204e-16     -0.65055
_SET1_   7781          2   27467440   27536093     52       2  31273     -0.75351       0.7014    2.2204e-16     -0.75351
_SET1_   57159         2   27470297   27540307     51       2  31262     -0.76122      0.70439    2.2204e-16     -0.76122
_SET1_   4052          2   33137221   33634576    857      35  30537      -1.4144      0.79776    2.2204e-16      -1.4144
_SET1_   253635        2   37276594   37336387     30       6  31836       2.9827   0.00046349    4.4409e-16       2.9827
_SET1_   25797         2   37536742   37610465     99       9  33875       1.6164     0.015138    2.2204e-16       1.6164
_SET1_   10602         2   37859025   37934678    178      13  31505     -0.98389      0.75397    2.2204e-16     -0.98389
_SET1_   92906         2   38779120   38865178    148      11  31618       1.0603     0.083829    2.2204e-16       1.0603
_SET1_   11037         2   48722308   48835654    177      14  31325      0.98763      0.10213    2.2204e-16      0.98763
_SET1_   5013          2   63242192   63294966     11       3  30034      0.44769      0.27368    2.7756e-16      0.44769
_SET1_   54980         2   70367017   70453151    162      15  31811      0.83992      0.11858    2.2204e-16      0.83992
_SET1_   84908         2   70513108   70564293    106       7  31777      0.71178      0.15491    2.2204e-16      0.71178
_SET1_   113419        2   71203068   71257001     76       9  31680       0.3695      0.24959    2.7756e-16       0.3695
_SET1_   6697          2   73079512   73129289     14       1  31092       1.2897     0.068342    2.2204e-16       1.2897
_SET1_   2016          2   73109604   73172020      6       1  30771       1.8902     0.017986    2.2204e-16       1.8902
_SET1_   94097         2   73159165   73333965    188       8  31718     -0.37644      0.52239    2.7756e-16     -0.37644
_SET1_   10574         2   73426364   73490150     48       2  31769      -1.4688      0.88684    2.2204e-16      -1.4688
_SET1_   1961          2   73508057   73555829     12       2  31844     -0.19097      0.44715    2.7756e-16     -0.19097
_SET1_   200424        2   74177211   74345303    133       9  31844    -0.098012      0.40842    2.6368e-16    -0.098012
_SET1_   1639          2   74578281   74654214     41       4  31667     -0.73877      0.67802    2.2204e-16     -0.73877
_SET1_   83439         2   85325583   85547511    354      29  31388      0.27624      0.25648    2.7756e-16      0.27624
_SET1_   7844          2   86820516   86886000     66       7  31375      0.86221      0.12914    2.2204e-16      0.86221
_SET1_   344167        2   88737726   88787053     66      11  31814      -1.4342      0.86668    2.2204e-16      -1.4342
_SET1_   7549          2   95796165   95860065     29       4  31492       1.5672     0.032828    2.2204e-16       1.5672
_SET1_   30818         2   95928072   96061825    108       9  31189       1.7634     0.022373    2.2204e-16       1.7634
_SET1_   55654         2   96905946   96966751     61      11  30993      0.54458      0.21798    2.2204e-16      0.54458
_SET1_   150771        2   96956062   97004091     39       5  31107      0.93943      0.11911    2.2204e-16      0.93943
_SET1_   23397         2   96966479   97052833     81      10  31050      0.64653      0.18796    2.2204e-16      0.64653
_SET1_   93082         2   97153383   97208846     38      10  30768      0.75101      0.16689    2.2204e-16      0.75101
_SET1_   23505         2   98362799   98647389    388      17  31600      -2.4007      0.97528    4.4409e-16      -2.4007
_SET1_   343990        2   99400309   99587684    298      17  31427       -1.592      0.89008    2.2204e-16       -1.592
_SET1_   6549          2  103201166  103337809    142      11  31834    0.0064181      0.36781    2.6975e-16    0.0064181
_SET1_   84620         2  107408056  107538563    160      10  31755      -1.4438      0.86986    2.2204e-16      -1.4438
_SET1_   699           2  111385275  111470684     50       4  31667      -1.2141      0.82186    2.2204e-16      -1.2141
_SET1_   150465        2  113204743  113300223     59       7  31143      0.39983      0.26421    2.7756e-16      0.39983
_SET1_   165257        2  119903819  119951471     97       9  31486   -0.0014155      0.39157    2.6953e-16   -0.0014155
_SET1_   79134         2  120965047  121015984     69       8  31734        1.211     0.065912    2.2204e-16        1.211
_SET1_   3625          2  121068719  121119383     60      14  30730       0.4962      0.24587    2.7756e-16       0.4962
_SET1_   2736          2  121458441  121760229    226      30  31828      0.28448      0.26265    2.7756e-16      0.28448
_SET1_   5433          2  128593840  128650729    108      10  31649      0.26896      0.28216    2.7756e-16      0.26896
_SET1_   80097         2  130904248  130972365     58       1  31012      -2.2981      0.98454    4.4409e-16      -2.2981
_SET1_   92856         2  131065470  131114197     51       5  31813      -1.5311      0.89019    2.2204e-16      -1.5311
_SET1_   653784        2  132217298  132285312    119       1  31835     -0.63509      0.65016    2.2204e-16     -0.63509
_SET1_   2863          2  133139147  133414169    513      50  31495      -1.3235      0.81236    2.2204e-16      -1.3235
_SET1_   84083         2  135944539  136323806    319       8  31633       1.1722     0.058202    2.2204e-16       1.1722
_SET1_   130576        2  149859981  150081776    489      27  31802      -1.3036      0.79143    2.2204e-16      -1.3036
_SET1_   2820          2  157256965  157452915    188      11  31640      0.22583      0.28849    2.7756e-16      0.22583
_SET1_   27347         2  168800530  169139105    870      42  31643      0.29428      0.16287    2.7756e-16      0.29428
_SET1_   100526832     2  170515964  170618396    331      21  31819       -1.881       0.9275    2.2204e-16       -1.881
_SET1_   151230        2  170555356  170618396    211      24  31821      -1.8186      0.92766    2.2204e-16      -1.8186
_SET1_   9874          2  171837333  172122824    361      23  31586      0.25098      0.25467    2.7756e-16      0.25098
_SET1_   83879         2  174184561  174243718     65      10  30493       0.2152      0.34924    2.7756e-16       0.2152
_SET1_   29789         2  174927175  175148365    226      12  31407       1.4773      0.03559    2.2204e-16       1.4773
_SET1_   220988        2  178041063  178098687     69       5  31759      0.41279      0.23682    2.7756e-16      0.41279
_SET1_   10477         2  181810112  181938154    315       9  31838      -1.1849       0.7777    2.2204e-16      -1.1849
_SET1_   165215        2  187523789  187640686    127       7  31483     -0.57023      0.61038    2.2204e-16     -0.57023
_SET1_   4664          2  191478621  191567492    110      13  31746      0.23002      0.29218    2.7756e-16      0.23002
_SET1_   9262          2  196988307  197071336    131      10  31175       1.3703      0.05233    2.2204e-16       1.3703
_SET1_   284992        2  197469278  197607530     50       6  30018      0.16644        0.391    2.7756e-16      0.16644
_SET1_   151195        2  208541264  208630898    142       3  31780       1.4681     0.039999    2.2204e-16       1.4681
_SET1_   5746          2  209189569  209369231    107       7  31837      0.73748      0.14664    2.2204e-16      0.73748
_SET1_   4133          2  210253733  210608842    290       7  31199     0.069487      0.34546    2.6368e-16     0.069487
_SET1_   33            2  211042632  211125215     26       6  29154      0.35789      0.34428    2.7756e-16      0.35789
_SET1_   10314         2  211285973  211377347    180      11  31525      0.20632      0.30192    2.7756e-16      0.20632
_SET1_   7701          2  219492639  219559355     86       4  31798      -1.1658      0.80553    2.2204e-16      -1.1658
_SET1_   130612        2  220373385  220425317     74      11  31829      0.84042      0.12243    2.2204e-16      0.84042
_SET1_   79586         2  220393669  220443487     75      12  31791      0.52761      0.19955    2.2204e-16      0.52761
_SET1_   80303         2  233435767  233557491    182      23  31614      0.89011      0.11411    2.2204e-16      0.89011
_SET1_   55054         2  234125217  234214320     74      10  29753      0.22352       0.3737    2.7756e-16      0.22352
_SET1_   8527          2  234228149  234390744    283      22  30771      0.43306      0.23831    2.7756e-16      0.43306
_SET1_   151176        2  239025579  239087516    161      28  31604       1.5195     0.034362    2.2204e-16       1.5195
_SET1_   51665         2  239300382  239370891    194      18  31772      -1.1824      0.79687    2.2204e-16      -1.1824
_SET1_   547           2  241643181  241794725    262      20  31659      -2.4387      0.98092    4.4409e-16      -2.4387
_SET1_   9901          3    9012275    9326369    643      85  31622     -0.68013      0.59432    2.2204e-16     -0.68013
_SET1_   8536          3    9789029    9846676     84      10  31152        -0.58      0.63261    2.2204e-16        -0.58
_SET1_   10474         3    9811648    9869695    120      12  31409       -0.306       0.5104    2.7756e-16       -0.306
_SET1_   2177          3   10033113   10153614    255       7  31827      -2.0907      0.95719    4.4409e-16      -2.0907
_SET1_   9797          3   10255177   10332906    164      15  31659       1.3181     0.050217    2.2204e-16       1.3181
_SET1_   27258         3   14185228   14249869     99       9  31741     -0.86509      0.70908    2.2204e-16     -0.86509
_SET1_   85403         3   15434064   15494120     98       9  31607      0.63725      0.17532    2.2204e-16      0.63725
_SET1_   9779          3   17188654   17819240    485      15  34265      -2.2618      0.92732    4.4409e-16      -2.2618
_SET1_   6304          3   18379133   18515265    129      23  31651      0.25584      0.28672    2.7756e-16      0.25584
_SET1_   26032         3   33181537   33295707    274      27  31701      0.18929      0.28985    2.7756e-16      0.18929
_SET1_   6331          3   38579553   38726164    203      35  31136      -1.4732      0.88847    2.2204e-16      -1.4732
_SET1_   3921          3   39413204   39464033    151       4  31791       1.4886     0.036094    2.2204e-16       1.4886
_SET1_   1499          3   41201401   41291939    102       9  31267    -0.038126      0.41088    2.7062e-16    -0.038126
_SET1_   22906         3   42020294   42277382    215      17  31752      -1.1667      0.78956    2.2204e-16      -1.1667
_SET1_   285343        3   44344574   44460940     41       3  31160     -0.22122      0.49602    2.7756e-16     -0.22122
_SET1_   56992         3   44768209   44904748     92       6  31272       1.3073     0.059057    2.2204e-16       1.3073
_SET1_   25907         3   45255956   45302814    127      11  31835      0.94087      0.10166    2.2204e-16      0.94087
_SET1_   23395         3   45395053   45600334    287      22  31421     -0.88517      0.70269    2.2204e-16     -0.88517
_SET1_   10675         3   47593728   47656730     24       3  30878       0.4089      0.27117    2.7756e-16       0.4089
_SET1_   7384          3   48626432   48682391     42       4  31063     0.047339      0.39176    2.7062e-16     0.047339
_SET1_   51447         3   48715436   48789711     45       3  30727      0.52239      0.24422    2.2204e-16      0.52239
_SET1_   25886         3   52099249   52223720    123       9  32221       1.9357     0.010554    2.2204e-16       1.9357
_SET1_   8314          3   52425020   52479121     29       7  33503       1.5861     0.017223    2.2204e-16       1.5861
_SET1_   5162          3   58403357   58454579     58       1  31785      0.60954      0.19478    2.2204e-16      0.60954
_SET1_   200845        3   58442823   58498087     46       3  31770      0.75131      0.14949    2.2204e-16      0.75131
_SET1_   11170         3   58539841   58648337    159      16  31760     -0.54697      0.58887    2.2204e-16     -0.54697
_SET1_   57415         3   62269648   62331888     34       6  31586      0.32751      0.26807    2.7756e-16      0.32751
_SET1_   55079         3   62345347   62394190     20       8  30236       1.1811     0.089182    2.2204e-16       1.1811
_SET1_   9223          3   65329200   66059511   1305     105  31173     -0.62115      0.43052    2.2204e-16     -0.62115
_SET1_   26018         3   66419221   66586446    300      30  31342        -1.12      0.78163    2.2204e-16        -1.12
_SET1_   6092          3   75920845   77709115   3148     170  31447       1.5794    0.0071728    2.2204e-16       1.5794
_SET1_   84319         3   99501678   99907476    129      17  31467     -0.46849      0.56863    2.7756e-16     -0.46849
_SET1_   54762         3  113522671  113676021    179      28  31634       0.3719       0.2476    2.7756e-16       0.3719
_SET1_   254887        3  113631748  113715706     91      20  31598       1.2974     0.056237    2.2204e-16       1.2974
_SET1_   165829        3  119874328  120038921    254      13  30956       -1.299      0.84469    2.2204e-16       -1.299
_SET1_   285282        3  120395528  120496384     61       6  31844     -0.65838      0.63936    2.2204e-16     -0.65838
_SET1_   10721         3  121140273  121299853     59       8  31758     -0.69537      0.65441    2.2204e-16     -0.69537
_SET1_   6565          3  121578171  121673034    189       7  31796      -1.0648      0.76525    2.2204e-16      -1.0648
_SET1_   54437         3  122618040  122782452    325      38  31666       1.5472     0.027353    2.2204e-16       1.5472
_SET1_   7372          3  124414213  124478120    157      17  31757     -0.89963      0.71481    2.2204e-16     -0.89963
_SET1_   3693          3  124470795  124641500    386      20  31671      -1.8014      0.91345    2.2204e-16      -1.8014
_SET1_   4171          3  127282200  127351279     25       7  29995      -1.1124      0.83484    2.2204e-16      -1.1124
_SET1_   23129         3  129264056  129360582    172      15  31689      0.73153      0.14507    2.2204e-16      0.73153
_SET1_   51560         3  133533079  133649691    176      30  29604     -0.55792      0.67774    2.2204e-16     -0.55792
_SET1_   80723         3  136502861  136584734     53       5  30858        2.032     0.012542    4.4409e-16        2.032
_SET1_   5291          3  138361540  138588780      6       2  31764      0.70425      0.14764    2.2204e-16      0.70425
_SET1_   116931        3  150768452  151164465    693      41  31499       1.2701      0.03331    2.2204e-16       1.2701
_SET1_   29909         3  150905537  150955997    122      16  31574        1.829      0.01647    2.2204e-16        1.829
_SET1_   23007         3  155187670  155497878    502      22  31713     -0.95585      0.67685    2.2204e-16     -0.95585
_SET1_   10051         3  160082078  160162755    105      11  31762     -0.34459      0.50938    2.7756e-16     -0.34459
_SET1_   84517         3  169474709  169522683     43       4  31844       1.5193     0.034297    2.2204e-16       1.5193
_SET1_   64393         3  178725011  178825067     72       9  31239     -0.54313      0.61211    2.2204e-16     -0.54313
_SET1_   1857          3  183838099  183901314     34       4  31483       1.0689     0.091929    2.2204e-16       1.0689
_SET1_   1173          3  183857634  183911879     44       4  31476       1.1236     0.084604    2.2204e-16       1.1236
_SET1_   131408        3  184018717  184074063     38       8  31771       1.5038      0.03443    2.2204e-16       1.5038
_SET1_   2049          3  184244587  184310196     77       7  30825      -2.0381      0.96628    4.4409e-16      -2.0381
_SET1_   6434          3  185622356  185690924    115      14  31457     -0.70086      0.66323    2.2204e-16     -0.70086
_SET1_   200933        3  196260725  196325930     81       9  31705       2.6282    0.0016465    4.4409e-16       2.6282
_SET1_   54965         3  196404234  196472878    124       8  31546      -1.3749      0.86356    2.2204e-16      -1.3749
_SET1_   10296         4    1248642    1343925    275       8  31829       1.4842      0.03135    2.2204e-16       1.4842
_SET1_   10460         4    1688217    1756905    217      12  26783       1.7375     0.052986    2.2204e-16       1.7375
